data
[]
"['DWM1001', 'TWR', 'Real', 'Time', 'Location', 'System']"
[]
"['Copyright', ':', '2016-2019', 'LEAPS', 'and', 'Decawave']"
"['License', ':', 'Please', 'visit', 'https://decawave.com/dwm1001_license']"
"['Compiled', ':', 'Mar', '27', '2019', '03:35:59']"
[]
"['Help', ':', '?', 'or', 'help']"
[]
"['dwm>', 'les']"
"['dwm>', '592F[4.00,0.00,0.00]=4.99', '5B01[4.00,4.00,0.00]=5.57', 'CD37[0.00,0.00,0.00]=0.00', '1495[0.00,4.00,0.00]=3.98', 'le_us=5554', 'est[0.02,-0.11,-0.03,70]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.13', '1495[0.00,4.00,0.00]=4.04', '5B01[4.00,4.00,0.00]=5.54']"
"['5B01[4.00,4.00,0.00]=5.59', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.71', '1495[0.00,4.00,0.00]=3.97', 'le_us=6530', 'est[-0.02,-0.08,-0.02,71]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=3.91', '1495[0.00,4.00,0.00]=4.04', '5B01[4.00,4.00,0.00]=5.61', 'le_us=5737', 'est[-0.02,-0.08,0.00,68]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.99', '1495[0.00,4.00,0.00]=4.01', '5B01[4.00,4.00,0.00]=5.57']"
"['5B01[4.00,4.00,0.00]=5.57', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.05', '1495[0.00,4.00,0.00]=4.08']"
"['5B01[4.00,4.00,0.00]=5.63', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.13', '1495[0.00,4.00,0.00]=4.03']"
"['5B01[4.00,4.00,0.00]=5.64', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.03', '1495[0.00,4.00,0.00]=3.97', 'le_us=6134', 'est[-0.01,-0.05,0.00,70]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.14', '1495[0.00,4.00,0.00]=3.97', '5B01[4.00,4.00,0.00]=5.57', 'le_us=5554', 'est[0.00,-0.06,-0.01,68]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.02', '1495[0.00,4.00,0.00]=3.92', '5B01[4.00,4.00,0.00]=5.64', 'le_us=6011', 'est[-0.02,-0.05,-0.02,71]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=3.96', '1495[0.00,4.00,0.00]=4.04', '5B01[4.00,4.00,0.00]=5.52', 'le_us=5737', 'est[-0.06,-0.02,0.01,71]']"
"['CD37[0.00,0.00,0.00]=0.00', '1495[0.00,4.00,0.00]=4.06', '592F[4.00,0.00,0.00]=4.08', '5B01[4.00,4.00,0.00]=5.56']"
"['5B01[4.00,4.00,0.00]=5.62', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.18', '1495[0.00,4.00,0.00]=3.99', 'le_us=6896', 'est[-0.04,-0.03,-0.00,71]']"
"['CD37[0.00,0.00,0.00]=0.00', '1495[0.00,4.00,0.00]=4.01', '592F[4.00,0.00,0.00]=3.99', '5B01[4.00,4.00,0.00]=5.51', 'le_us=4333', 'est[-0.10,-0.01,-0.00,72]']"
"['CD37[0.00,0.00,0.00]=0.00', '1495[0.00,4.00,0.00]=3.98', '5B01[4.00,4.00,0.00]=5.56', 'le_us=976', 'est[-0.07,-0.05,-0.02,91]']"
"['CD37[0.00,0.00,0.00]=0.00', '1495[0.00,4.00,0.00]=4.01', '592F[4.00,0.00,0.00]=4.08', '5B01[4.00,4.00,0.00]=5.56']"
"['5B01[4.00,4.00,0.00]=5.57', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.89', '1495[0.00,4.00,0.00]=4.01']"
"['5B01[4.00,4.00,0.00]=5.57', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=3.90', '1495[0.00,4.00,0.00]=3.99', 'le_us=3845', 'est[-0.05,-0.04,0.01,25]']"
"['CD37[0.00,0.00,0.00]=0.00', '1495[0.00,4.00,0.00]=4.05', '592F[4.00,0.00,0.00]=4.01', '5B01[4.00,4.00,0.00]=5.52']"
"['5B01[4.00,4.00,0.00]=5.59', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.94', '1495[0.00,4.00,0.00]=3.96', 'le_us=6500', 'est[-0.04,-0.05,-0.01,59]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.89', '1495[0.00,4.00,0.00]=3.95', '5B01[4.00,4.00,0.00]=5.57', 'le_us=5554', 'est[-0.02,-0.05,-0.03,49]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=3.96', '1495[0.00,4.00,0.00]=4.01', '5B01[4.00,4.00,0.00]=5.63', 'le_us=5767', 'est[-0.03,-0.05,-0.01,63]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.02', '1495[0.00,4.00,0.00]=3.97', '5B01[4.00,4.00,0.00]=5.59', 'le_us=5554', 'est[-0.02,-0.05,-0.02,68]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=3.99', '1495[0.00,4.00,0.00]=4.02', '5B01[4.00,4.00,0.00]=5.54', 'le_us=4516', 'est[-0.09,-0.03,-0.00,73]']"
"['CD37[0.00,0.00,0.00]=0.00', '1495[0.00,4.00,0.00]=3.97', '592F[4.00,0.00,0.00]=3.98', '5B01[4.00,4.00,0.00]=5.60', 'le_us=4333', 'est[-0.08,-0.02,0.01,71]']"
"['CD37[0.00,0.00,0.00]=0.00', '1495[0.00,4.00,0.00]=4.02', '592F[4.00,0.00,0.00]=4.18', '5B01[4.00,4.00,0.00]=5.55']"
"['5B01[4.00,4.00,0.00]=5.59', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.03', '1495[0.00,4.00,0.00]=3.91', 'le_us=6530', 'est[-0.07,-0.02,-0.01,35]']"
"['CD37[0.00,0.00,0.00]=0.00', '1495[0.00,4.00,0.00]=4.03', '592F[4.00,0.00,0.00]=4.07', '5B01[4.00,4.00,0.00]=5.57']"
"['5B01[4.00,4.00,0.00]=5.62', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.03', '1495[0.00,4.00,0.00]=4.03']"
"['5B01[4.00,4.00,0.00]=5.62', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.12', '1495[0.00,4.00,0.00]=3.96', 'le_us=6530', 'est[-0.06,-0.03,-0.03,63]']"
"['CD37[0.00,0.00,0.00]=0.00', '1495[0.00,4.00,0.00]=4.00', '592F[4.00,0.00,0.00]=4.19', '5B01[4.00,4.00,0.00]=5.58', 'le_us=5706', 'est[-0.05,-0.10,-0.02,73]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.01', '1495[0.00,4.00,0.00]=3.96', '5B01[4.00,4.00,0.00]=5.53', 'le_us=5706', 'est[-0.02,-0.11,-0.04,71]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.14', '1495[0.00,4.00,0.00]=4.01', '5B01[4.00,4.00,0.00]=5.55']"
"['5B01[4.00,4.00,0.00]=5.66', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.11', '1495[0.00,4.00,0.00]=3.95']"
"['5B01[4.00,4.00,0.00]=5.59', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=3.92', '1495[0.00,4.00,0.00]=3.97', 'le_us=3570', 'est[-0.02,-0.10,-0.05,69]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.06', '1495[0.00,4.00,0.00]=3.98', '5B01[4.00,4.00,0.00]=5.55', 'le_us=6042', 'est[0.00,-0.12,-0.05,71]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.01', '1495[0.00,4.00,0.00]=3.95', '5B01[4.00,4.00,0.00]=5.57', 'le_us=5523', 'est[0.01,-0.10,-0.06,54]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.80', '1495[0.00,4.00,0.00]=4.00', '5B01[4.00,4.00,0.00]=5.57', 'le_us=5706', 'est[0.01,-0.15,-0.04,73]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.04', '1495[0.00,4.00,0.00]=4.01', '5B01[4.00,4.00,0.00]=5.59']"
"['5B01[4.00,4.00,0.00]=5.64', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.85', '1495[0.00,4.00,0.00]=3.96', 'le_us=6469', 'est[-0.01,-0.13,-0.05,68]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.96', '1495[0.00,4.00,0.00]=3.94', '5B01[4.00,4.00,0.00]=5.60', 'le_us=5523', 'est[-0.01,-0.11,-0.06,45]']"
"['CD37[0.00,0.00,0.00]=0.00', '1495[0.00,4.00,0.00]=4.00', '5B01[4.00,4.00,0.00]=5.60', 'le_us=762', 'est[0.00,-0.10,-0.04,95]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.20', '1495[0.00,4.00,0.00]=3.96', '5B01[4.00,4.00,0.00]=5.53', 'le_us=5676', 'est[0.02,-0.12,-0.06,71]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.91', '1495[0.00,4.00,0.00]=3.96', '5B01[4.00,4.00,0.00]=5.52', 'le_us=5706', 'est[0.03,-0.13,-0.07,71]']"
"['CD37[0.00,0.00,0.00]=0.00', '1495[0.00,4.00,0.00]=4.00', '5B01[4.00,4.00,0.00]=5.55', 'le_us=1251', 'est[0.02,-0.20,-0.05,99]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=3.99', '1495[0.00,4.00,0.00]=4.08', '5B01[4.00,4.00,0.00]=5.69', 'le_us=6957', 'est[0.03,-0.16,-0.16,22]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.07', '1495[0.00,4.00,0.00]=3.99', '5B01[4.00,4.00,0.00]=5.55', 'le_us=5554', 'est[0.04,-0.17,-0.12,71]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.15', '1495[0.00,4.00,0.00]=3.98', '5B01[4.00,4.00,0.00]=5.56', 'le_us=5676', 'est[0.04,-0.17,-0.11,71]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.00', '1495[0.00,4.00,0.00]=4.06', '5B01[4.00,4.00,0.00]=5.65', 'le_us=5218', 'est[0.03,-0.13,-0.08,70]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.06', '1495[0.00,4.00,0.00]=4.02', '5B01[4.00,4.00,0.00]=5.61']"
"['5B01[4.00,4.00,0.00]=5.61', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.91', '1495[0.00,4.00,0.00]=3.89', 'le_us=6500', 'est[0.00,-0.09,-0.08,71]']"
"['CD37[0.00,0.00,0.00]=0.00', '1495[0.00,4.00,0.00]=3.95']"
"['592F[4.00,0.00,0.00]=4.06', '5B01[4.00,4.00,0.00]=5.62', 'CD37[0.00,0.00,0.00]=0.00', '1495[0.00,4.00,0.00]=3.96', 'le_us=5737', 'est[-0.00,-0.08,-0.08,63]']"
"['CD37[0.00,0.00,0.00]=0.00', '1495[0.00,4.00,0.00]=3.95', '5B01[4.00,4.00,0.00]=5.57', 'le_us=793', 'est[0.00,-0.08,-0.08,70]']"
"['CD37[0.00,0.00,0.00]=0.00', '1495[0.00,4.00,0.00]=3.93', '5B01[4.00,4.00,0.00]=5.57', 'le_us=793', 'est[0.00,-0.06,-0.08,70]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.04', '1495[0.00,4.00,0.00]=3.98', '5B01[4.00,4.00,0.00]=5.60', 'le_us=5554', 'est[0.01,-0.07,-0.08,71]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.06', '1495[0.00,4.00,0.00]=3.95', '5B01[4.00,4.00,0.00]=5.53', 'le_us=5554', 'est[0.03,-0.06,-0.06,70]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.11', '1495[0.00,4.00,0.00]=4.00', '5B01[4.00,4.00,0.00]=5.54', 'le_us=5920', 'est[0.02,-0.15,-0.04,74]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.48', '1495[0.00,4.00,0.00]=3.99', '5B01[4.00,4.00,0.00]=5.57', 'le_us=5706', 'est[0.02,-0.16,-0.05,72]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=3.89', '1495[0.00,4.00,0.00]=4.00', '5B01[4.00,4.00,0.00]=5.57', 'le_us=3509', 'est[0.02,-0.13,-0.01,34]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=3.96', '1495[0.00,4.00,0.00]=3.99', 'le_us=762', 'est[-0.00,-0.12,-0.01,83]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.28', '1495[0.00,4.00,0.00]=4.01', '5B01[4.00,4.00,0.00]=5.57']"
"['5B01[4.00,4.00,0.00]=5.58', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=3.99', '1495[0.00,4.00,0.00]=4.02', 'le_us=5371', 'est[-0.05,-0.08,0.01,72]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.01', '1495[0.00,4.00,0.00]=4.05', '5B01[4.00,4.00,0.00]=5.60']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.09', '1495[0.00,4.00,0.00]=4.07']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.15', '1495[0.00,4.00,0.00]=4.01', '5B01[4.00,4.00,0.00]=5.57']"
"['5B01[4.00,4.00,0.00]=5.59', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.07', '1495[0.00,4.00,0.00]=4.01']"
"['5B01[4.00,4.00,0.00]=5.57', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.01', '1495[0.00,4.00,0.00]=3.95', 'le_us=6500', 'est[-0.03,-0.07,-0.02,49]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.14', '1495[0.00,4.00,0.00]=4.00', '5B01[4.00,4.00,0.00]=5.47']"
"['5B01[4.00,4.00,0.00]=5.62', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.72', '1495[0.00,4.00,0.00]=3.92', 'le_us=6500', 'est[-0.04,-0.06,-0.03,65]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.79', '1495[0.00,4.00,0.00]=4.01', '5B01[4.00,4.00,0.00]=5.55']"
"['5B01[4.00,4.00,0.00]=5.63', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.04', '1495[0.00,4.00,0.00]=4.01']"
"['5B01[4.00,4.00,0.00]=5.58', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.11', '1495[0.00,4.00,0.00]=3.98', 'le_us=6500', 'est[-0.01,-0.07,-0.03,71]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=3.94', '1495[0.00,4.00,0.00]=4.00', '5B01[4.00,4.00,0.00]=5.55', 'le_us=4821', 'est[-0.02,-0.03,-0.01,57]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.00', '1495[0.00,4.00,0.00]=4.02', '5B01[4.00,4.00,0.00]=5.57', 'le_us=4333', 'est[-0.09,-0.03,-0.00,73]']"
"['CD37[0.00,0.00,0.00]=0.00', '1495[0.00,4.00,0.00]=4.05', '592F[4.00,0.00,0.00]=4.06', '5B01[4.00,4.00,0.00]=5.56']"
"['5B01[4.00,4.00,0.00]=5.60', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.16', '1495[0.00,4.00,0.00]=3.96', 'le_us=6530', 'est[-0.07,-0.03,-0.02,59]']"
"['CD37[0.00,0.00,0.00]=0.00', '1495[0.00,4.00,0.00]=4.00', '592F[4.00,0.00,0.00]=4.18', '5B01[4.00,4.00,0.00]=5.58', 'le_us=5554', 'est[-0.05,-0.08,-0.02,72]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=3.99', '1495[0.00,4.00,0.00]=4.03', '5B01[4.00,4.00,0.00]=5.53', 'le_us=4486', 'est[-0.11,-0.04,-0.00,72]']"
"['CD37[0.00,0.00,0.00]=0.00', '1495[0.00,4.00,0.00]=4.08', '592F[4.00,0.00,0.00]=4.17', '5B01[4.00,4.00,0.00]=5.55']"
"['5B01[4.00,4.00,0.00]=5.53', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.14', '1495[0.00,4.00,0.00]=4.04']"
"['5B01[4.00,4.00,0.00]=5.59', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.92', '1495[0.00,4.00,0.00]=4.00', 'le_us=6591', 'est[-0.08,-0.08,-0.00,72]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.04', '1495[0.00,4.00,0.00]=4.05', '5B01[4.00,4.00,0.00]=5.55']"
"['5B01[4.00,4.00,0.00]=5.59', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.08', '1495[0.00,4.00,0.00]=3.95', 'le_us=6469', 'est[-0.06,-0.07,-0.02,54]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.10', '1495[0.00,4.00,0.00]=4.00', '5B01[4.00,4.00,0.00]=5.57', 'le_us=5706', 'est[-0.03,-0.10,-0.02,72]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.08', '1495[0.00,4.00,0.00]=4.05', '5B01[4.00,4.00,0.00]=5.57']"
"['5B01[4.00,4.00,0.00]=5.58', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.31', '1495[0.00,4.00,0.00]=3.97', 'le_us=6469', 'est[-0.02,-0.10,-0.03,68]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=3.98', '1495[0.00,4.00,0.00]=3.98', '5B01[4.00,4.00,0.00]=5.52', 'le_us=3448', 'est[0.00,-0.14,-0.05,72]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.01', '1495[0.00,4.00,0.00]=4.01', '5B01[4.00,4.00,0.00]=5.57', 'le_us=5218', 'est[-0.00,-0.11,-0.04,70]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.14', '1495[0.00,4.00,0.00]=4.01']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.23', '1495[0.00,4.00,0.00]=3.99', '5B01[4.00,4.00,0.00]=5.60', 'le_us=5523', 'est[0.00,-0.10,-0.04,71]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.14', '1495[0.00,4.00,0.00]=4.00', '5B01[4.00,4.00,0.00]=5.49', 'le_us=6072', 'est[0.01,-0.20,-0.04,74]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=3.98', '1495[0.00,4.00,0.00]=4.01', '5B01[4.00,4.00,0.00]=5.53', 'le_us=4272', 'est[-0.04,-0.13,-0.03,71]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.90', '1495[0.00,4.00,0.00]=4.08', '5B01[4.00,4.00,0.00]=5.50']"
"['5B01[4.00,4.00,0.00]=5.61', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.39', '1495[0.00,4.00,0.00]=3.98', 'le_us=6500', 'est[-0.03,-0.12,-0.04,71]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.93', '1495[0.00,4.00,0.00]=3.96', '5B01[4.00,4.00,0.00]=5.58', 'le_us=5523', 'est[-0.01,-0.10,-0.05,63]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.02', '1495[0.00,4.00,0.00]=4.01', '5B01[4.00,4.00,0.00]=5.56', 'le_us=5249', 'est[-0.02,-0.08,-0.04,71]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.04', '1495[0.00,4.00,0.00]=4.01', '5B01[4.00,4.00,0.00]=5.46']"
"['5B01[4.00,4.00,0.00]=5.62', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.03', '1495[0.00,4.00,0.00]=3.92', 'le_us=6652', 'est[-0.03,-0.07,-0.04,65]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.02', '1495[0.00,4.00,0.00]=3.99', '5B01[4.00,4.00,0.00]=5.59', 'le_us=4150', 'est[-0.02,-0.07,-0.04,71]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.10', '1495[0.00,4.00,0.00]=4.00', '5B01[4.00,4.00,0.00]=5.55', 'le_us=5859', 'est[-0.01,-0.13,-0.04,73]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.36', '1495[0.00,4.00,0.00]=4.01', '5B01[4.00,4.00,0.00]=5.57']"
"['5B01[4.00,4.00,0.00]=5.61', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.10', '1495[0.00,4.00,0.00]=3.92', 'le_us=6500', 'est[-0.02,-0.10,-0.05,59]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.04', '1495[0.00,4.00,0.00]=4.00', '5B01[4.00,4.00,0.00]=5.60', 'le_us=5554', 'est[-0.01,-0.13,-0.04,72]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.14', '1495[0.00,4.00,0.00]=4.01', '5B01[4.00,4.00,0.00]=5.59']"
"['5B01[4.00,4.00,0.00]=5.57', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.16', '1495[0.00,4.00,0.00]=4.00', 'le_us=6866', 'est[-0.01,-0.17,-0.03,73]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=3.93', '1495[0.00,4.00,0.00]=4.05', '5B01[4.00,4.00,0.00]=5.57', 'le_us=5645', 'est[-0.02,-0.12,0.00,35]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.99', '1495[0.00,4.00,0.00]=3.98', '5B01[4.00,4.00,0.00]=5.61', 'le_us=5523', 'est[-0.01,-0.11,-0.01,71]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.26', '1495[0.00,4.00,0.00]=4.00', '5B01[4.00,4.00,0.00]=5.53', 'le_us=6225', 'est[-0.00,-0.18,-0.01,74]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=3.90', '1495[0.00,4.00,0.00]=3.98', '5B01[4.00,4.00,0.00]=5.57', 'le_us=3173', 'est[0.00,-0.16,-0.01,71]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.20', '1495[0.00,4.00,0.00]=4.02', '5B01[4.00,4.00,0.00]=5.58']"
"['5B01[4.00,4.00,0.00]=5.56', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.46', '1495[0.00,4.00,0.00]=4.00', 'le_us=6988', 'est[0.01,-0.19,-0.02,73]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.85', '1495[0.00,4.00,0.00]=3.98', '5B01[4.00,4.00,0.00]=5.56', 'le_us=5676', 'est[0.01,-0.19,-0.04,72]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.02', '1495[0.00,4.00,0.00]=4.06', '5B01[4.00,4.00,0.00]=5.54']"
"['5B01[4.00,4.00,0.00]=5.60', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.07', '1495[0.00,4.00,0.00]=3.93', 'le_us=6500', 'est[-0.00,-0.15,-0.05,41]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.09', '1495[0.00,4.00,0.00]=3.98', '5B01[4.00,4.00,0.00]=5.65', 'le_us=5249', 'est[-0.01,-0.10,-0.04,70]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.05', '1495[0.00,4.00,0.00]=3.99', '5B01[4.00,4.00,0.00]=5.52', 'le_us=5889', 'est[0.01,-0.15,-0.04,72]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.03', '1495[0.00,4.00,0.00]=3.99', '5B01[4.00,4.00,0.00]=5.52', 'le_us=5889', 'est[0.02,-0.18,-0.05,72]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=3.96', '1495[0.00,4.00,0.00]=3.96', '5B01[4.00,4.00,0.00]=5.58', 'le_us=3143', 'est[0.00,-0.13,-0.02,63]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=3.96', '1495[0.00,4.00,0.00]=3.98', '5B01[4.00,4.00,0.00]=5.53', 'le_us=3448', 'est[-0.04,-0.08,0.01,71]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.12', '1495[0.00,4.00,0.00]=4.05', '5B01[4.00,4.00,0.00]=6.53']"
"['5B01[4.00,4.00,0.00]=5.61', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.12', '1495[0.00,4.00,0.00]=3.95', 'le_us=6500', 'est[-0.03,-0.07,-0.01,49]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.13', '1495[0.00,4.00,0.00]=4.00', '5B01[4.00,4.00,0.00]=5.58', 'le_us=5706', 'est[-0.02,-0.10,-0.02,72]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=3.93', '1495[0.00,4.00,0.00]=3.95', '5B01[4.00,4.00,0.00]=5.42', 'le_us=3997', 'est[0.02,-0.17,-0.05,72]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.07', '1495[0.00,4.00,0.00]=4.01', '5B01[4.00,4.00,0.00]=5.62']"
"['5B01[4.00,4.00,0.00]=5.62', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=3.98', '1495[0.00,4.00,0.00]=3.94', 'le_us=3601', 'est[-0.00,-0.13,-0.02,71]']"
