data
[]
"['DWM1001', 'TWR', 'Real', 'Time', 'Location', 'System']"
[]
"['Copyright', ':', '2016-2019', 'LEAPS', 'and', 'Decawave']"
"['License', ':', 'Please', 'visit', 'https://decawave.com/dwm1001_license']"
"['Compiled', ':', 'Mar', '27', '2019', '03:35:59']"
[]
"['Help', ':', '?', 'or', 'help']"
[]
"['dwm>', 'les']"
"['dwm>', 'CD37[0.00,0.00,0.00]=1.01', '592F[4.00,0.00,0.00]=3.09', '1495[0.00,4.00,0.00]=3.67', '5B01[4.00,4.00,0.00]=4.72', 'le_us=3478', 'est[0.88,0.39,0.31,58]']"
"['CD37[0.00,0.00,0.00]=1.07', '592F[4.00,0.00,0.00]=3.13', '1495[0.00,4.00,0.00]=3.64', '5B01[4.00,4.00,0.00]=4.78', 'le_us=3387', 'est[0.85,0.37,0.08,59]']"
"['CD37[0.00,0.00,0.00]=1.06', '592F[4.00,0.00,0.00]=3.08', '1495[0.00,4.00,0.00]=3.63', '5B01[4.00,4.00,0.00]=4.72', 'le_us=3540', 'est[0.84,0.35,-0.11,56]']"
"['CD37[0.00,0.00,0.00]=1.01', '592F[4.00,0.00,0.00]=3.10', '1495[0.00,4.00,0.00]=3.66', '5B01[4.00,4.00,0.00]=4.73', 'le_us=3478', 'est[0.84,0.36,0.06,58]']"
"['CD37[0.00,0.00,0.00]=1.04', '592F[4.00,0.00,0.00]=3.08', '1495[0.00,4.00,0.00]=3.65', '5B01[4.00,4.00,0.00]=4.74', 'le_us=3540', 'est[0.86,0.37,0.19,58]']"
"['CD37[0.00,0.00,0.00]=1.04', '592F[4.00,0.00,0.00]=3.09', '1495[0.00,4.00,0.00]=3.65', '5B01[4.00,4.00,0.00]=4.76', 'le_us=3540', 'est[0.84,0.35,-0.02,57]']"
"['CD37[0.00,0.00,0.00]=1.03', '592F[4.00,0.00,0.00]=3.09', '1495[0.00,4.00,0.00]=3.67', '5B01[4.00,4.00,0.00]=4.73', 'le_us=3295', 'est[0.84,0.35,-0.12,59]']"
"['CD37[0.00,0.00,0.00]=1.02', '592F[4.00,0.00,0.00]=3.11', '1495[0.00,4.00,0.00]=3.64', '5B01[4.00,4.00,0.00]=4.79', 'le_us=3540', 'est[0.85,0.37,0.05,58]']"
"['CD37[0.00,0.00,0.00]=1.04', '592F[4.00,0.00,0.00]=3.09', '1495[0.00,4.00,0.00]=3.64', '5B01[4.00,4.00,0.00]=4.68', 'le_us=3448', 'est[0.86,0.38,0.18,58]']"
"['CD37[0.00,0.00,0.00]=1.05', '592F[4.00,0.00,0.00]=3.13', '5B01[4.00,4.00,0.00]=4.71', 'le_us=640', 'est[0.87,0.40,0.21,87]']"
"['CD37[0.00,0.00,0.00]=1.01', '592F[4.00,0.00,0.00]=3.13', '1495[0.00,4.00,0.00]=3.66', '5B01[4.00,4.00,0.00]=4.73', 'le_us=3021', 'est[0.88,0.41,0.16,56]']"
"['CD37[0.00,0.00,0.00]=1.00', '592F[4.00,0.00,0.00]=3.12', '1495[0.00,4.00,0.00]=3.60', '5B01[4.00,4.00,0.00]=4.71', 'le_us=3448', 'est[0.87,0.41,0.05,58]']"
"['CD37[0.00,0.00,0.00]=1.05', '592F[4.00,0.00,0.00]=3.10', '1495[0.00,4.00,0.00]=3.63', '5B01[4.00,4.00,0.00]=4.72', 'le_us=3295', 'est[0.87,0.41,0.18,58]']"
"['CD37[0.00,0.00,0.00]=1.00', '592F[4.00,0.00,0.00]=3.10', '1495[0.00,4.00,0.00]=3.67', '5B01[4.00,4.00,0.00]=4.79', 'le_us=3540', 'est[0.87,0.40,0.28,58]']"
"['CD37[0.00,0.00,0.00]=1.03', '592F[4.00,0.00,0.00]=3.11', '1495[0.00,4.00,0.00]=3.65', '5B01[4.00,4.00,0.00]=4.74', 'le_us=3295', 'est[0.87,0.39,0.12,59]']"
"['CD37[0.00,0.00,0.00]=0.99', '592F[4.00,0.00,0.00]=3.08', '1495[0.00,4.00,0.00]=3.67', '5B01[4.00,4.00,0.00]=4.67', 'le_us=3417', 'est[0.87,0.40,0.21,58]']"
"['CD37[0.00,0.00,0.00]=1.03', '592F[4.00,0.00,0.00]=3.08', '1495[0.00,4.00,0.00]=3.72', '5B01[4.00,4.00,0.00]=4.80', 'le_us=3540', 'est[0.85,0.35,-0.00,60]']"
"['CD37[0.00,0.00,0.00]=1.06', '592F[4.00,0.00,0.00]=3.10', '1495[0.00,4.00,0.00]=3.65', '5B01[4.00,4.00,0.00]=4.73', 'le_us=3143', 'est[0.85,0.36,-0.10,58]']"
"['CD37[0.00,0.00,0.00]=1.04', '592F[4.00,0.00,0.00]=3.15', '1495[0.00,4.00,0.00]=3.64', '5B01[4.00,4.00,0.00]=4.72', 'le_us=2990', 'est[0.86,0.39,-0.02,56]']"
"['CD37[0.00,0.00,0.00]=1.07', '592F[4.00,0.00,0.00]=3.07', '1495[0.00,4.00,0.00]=3.63', '5B01[4.00,4.00,0.00]=4.68', 'le_us=3295', 'est[0.87,0.39,-0.12,58]']"
"['CD37[0.00,0.00,0.00]=1.04', '592F[4.00,0.00,0.00]=3.09', '1495[0.00,4.00,0.00]=3.64', '5B01[4.00,4.00,0.00]=4.71', 'le_us=3295', 'est[0.87,0.39,-0.18,58]']"
"['CD37[0.00,0.00,0.00]=1.05', '592F[4.00,0.00,0.00]=3.09', '1495[0.00,4.00,0.00]=3.72', '5B01[4.00,4.00,0.00]=4.77', 'le_us=3112', 'est[0.87,0.37,-0.24,59]']"
"['CD37[0.00,0.00,0.00]=1.02', '592F[4.00,0.00,0.00]=3.06', '1495[0.00,4.00,0.00]=3.69', '5B01[4.00,4.00,0.00]=4.73', 'le_us=3478', 'est[0.88,0.37,-0.04,58]']"
"['CD37[0.00,0.00,0.00]=1.06', '592F[4.00,0.00,0.00]=3.09', '1495[0.00,4.00,0.00]=3.61', '5B01[4.00,4.00,0.00]=4.70', 'le_us=3265', 'est[0.88,0.39,0.11,57]']"
"['CD37[0.00,0.00,0.00]=1.02', '592F[4.00,0.00,0.00]=3.10', '1495[0.00,4.00,0.00]=3.65', '5B01[4.00,4.00,0.00]=4.60', 'le_us=3387', 'est[0.88,0.42,0.20,56]']"
"['CD37[0.00,0.00,0.00]=1.00', '592F[4.00,0.00,0.00]=3.07', '1495[0.00,4.00,0.00]=3.60', '5B01[4.00,4.00,0.00]=4.82', 'le_us=4028', 'est[0.88,0.42,0.27,57]']"
"['CD37[0.00,0.00,0.00]=1.07', '592F[4.00,0.00,0.00]=3.09', '1495[0.00,4.00,0.00]=3.67', '5B01[4.00,4.00,0.00]=4.71', 'le_us=3051', 'est[0.90,0.43,0.25,56]']"
"['CD37[0.00,0.00,0.00]=1.00', '592F[4.00,0.00,0.00]=3.07', '5B01[4.00,4.00,0.00]=4.71', 'le_us=823', 'est[0.90,0.42,0.32,72]']"
"['CD37[0.00,0.00,0.00]=1.04', '592F[4.00,0.00,0.00]=3.10', '1495[0.00,4.00,0.00]=3.64', '5B01[4.00,4.00,0.00]=4.75', 'le_us=3570', 'est[0.87,0.39,0.08,58]']"
"['CD37[0.00,0.00,0.00]=1.03', '592F[4.00,0.00,0.00]=3.09', '1495[0.00,4.00,0.00]=3.63', '5B01[4.00,4.00,0.00]=4.68', 'le_us=3631', 'est[0.87,0.39,-0.08,58]']"
"['CD37[0.00,0.00,0.00]=1.01', '592F[4.00,0.00,0.00]=3.10', '1495[0.00,4.00,0.00]=3.66', '5B01[4.00,4.00,0.00]=4.76', 'le_us=3356', 'est[0.87,0.39,0.08,58]']"
"['CD37[0.00,0.00,0.00]=1.03', '592F[4.00,0.00,0.00]=3.06', '1495[0.00,4.00,0.00]=3.65', '5B01[4.00,4.00,0.00]=4.70', 'le_us=3509', 'est[0.88,0.39,0.20,58]']"
"['CD37[0.00,0.00,0.00]=1.07', '592F[4.00,0.00,0.00]=3.11', '1495[0.00,4.00,0.00]=3.66', '5B01[4.00,4.00,0.00]=4.68', 'le_us=2990', 'est[0.90,0.41,0.20,56]']"
"['CD37[0.00,0.00,0.00]=1.05', '592F[4.00,0.00,0.00]=3.12', '1495[0.00,4.00,0.00]=3.64', '5B01[4.00,4.00,0.00]=4.76', 'le_us=3112', 'est[0.90,0.43,0.19,56]']"
"['CD37[0.00,0.00,0.00]=1.00', '592F[4.00,0.00,0.00]=3.10', '1495[0.00,4.00,0.00]=3.65', '5B01[4.00,4.00,0.00]=4.69', 'le_us=3662', 'est[0.90,0.42,0.01,58]']"
"['CD37[0.00,0.00,0.00]=1.04', '592F[4.00,0.00,0.00]=3.09', '1495[0.00,4.00,0.00]=3.66', '5B01[4.00,4.00,0.00]=4.73', 'le_us=3356', 'est[0.89,0.40,-0.07,59]']"
